iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,total_tests,new_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,
USA,North America,United States,7/15/2020,3507089,66299,137940,953,9245,33760,50144736,1035695,,,,,
USA,North America,United States,7/16/2020,3577863,70774,138900,960,9797,38539,51174133,1029397,,,,,
USA,North America,United States,7/17/2020,3644285,66422,139842,942,10700,40062,52221904,1047771,,,,,
USA,North America,United States,7/18/2020,3708610,64325,140732,890,10963,40376,53134643,912739,,,,,
USA,North America,United States,7/19/2020,3767603,58993,141196,464,10267,37897,53853153,718510,,,,,
USA,North America,United States,7/20/2020,3828459,60856,141749,553,11291,41140,54761005,907852,,,,,
USA,North America,United States,7/21/2020,3896754,68295,142821,1072,11458,42195,55797737,1036732,,,,,
USA,North America,United States,7/22/2020,3964204,67450,144064,1243,12487,46107,56907894,1110157,,,,,
USA,North America,United States,7/23/2020,4031971,67767,145120,1056,13916,47836,57992334,1084440,,,,,
USA,North America,United States,7/24/2020,4106920,74949,146229,1109,13627,46750,59067408,1075074,,,,,
USA,North America,United States,7/25/2020,4170675,63755,147178,949,14402,51833,59949657,882249,,,,,
USA,North America,United States,7/26/2020,4226306,55631,147741,563,12403,43098,60627606,677949,,,,,
USA,North America,United States,7/27/2020,4286303,59997,148845,1104,14230,47167,61425685,798079,,,,,
USA,North America,United States,7/28/2020,4350867,64564,150060,1215,14578,48114,62394274,968589,,,,,
USA,North America,United States,7/29/2020,4414918,64051,151474,1414,14021,45616,63435253,1040979,,,,,
USA,North America,United States,7/30/2020,4484122,69204,152775,1301,14653,46832,64473913,1038660,,,,,
USA,North America,United States,7/31/2020,4548497,64375,153967,1192,14603,46150,65464901,990988,,,,,
USA,North America,United States,8/1/2020,4605921,57424,155057,1090,14400,50419,66257905,793004,,,,,
USA,North America,United States,8/2/2020,4652810,46889,155533,476,14053,50238,66882462,624557,,,,,
USA,North America,United States,8/3/2020,4694706,41896,156124,591,14245,45291,67659829,777367,,,,,
USA,North America,United States,8/4/2020,4756327,61621,157372,1248,14116,45134,68544087,884258,,,,,
USA,North America,United States,8/5/2020,4810464,54137,158767,1395,14059,44663,69510054,965967,,,,,
USA,North America,United States,8/6/2020,4870500,60036,159968,1201,13885,43891,70501120,991066,,,,,
USA,North America,United States,8/7/2020,4930941,60441,161263,1295,13769,43210,71517263,1016143,,,,,
USA,North America,United States,8/8/2020,4994708,63767,162335,1072,13358,41593,72333228,815965,,,,,
USA,North America,United States,8/9/2020,5048871,54163,162912,577,13163,41484,72959998,626770,,,,,
USA,North America,United States,8/10/2020,5100508,51637,163436,524,13181,42072,73745438,785440,,,,,
USA,North America,United States,8/11/2020,5157384,56876,164513,1077,13058,41645,74655066,909628,,,,,
USA,North America,United States,8/12/2020,5212605,55221,166045,1532,12868,41817,75683714,1028648,,,,,
USA,North America,United States,8/13/2020,5264051,51446,167073,1028,12677,41240,76664393,980679,,,,,
USA,North America,United States,8/14/2020,5334123,70072,168359,1286,12512,39980,77626301,961908,,,,,
USA,North America,United States,8/15/2020,5386448,52325,169419,1060,12246,38699,78394254,767953,,,,,
USA,North America,United States,8/16/2020,5421025,34577,170030,611,11991,38850,78967257,573003,,,,,
USA,North America,United States,8/17/2020,5459022,37997,170489,459,11967,39032,79644369,677112,,,,,
USA,North America,United States,8/18/2020,5503997,44975,171716,1227,11958,38897,80540237,895868,,,,,
USA,North America,United States,8/19/2020,5549912,45915,172417,701,11571,38002,81545629,1005392,,,,,
USA,North America,United States,8/20/2020,5595047,45135,173497,1080,11263,37321,82542720,997091,,,,,
USA,North America,United States,8/21/2020,5642947,47900,174612,1115,11031,35989,83508569,965849,,,,,
USA,North America,United States,8/22/2020,5688218,45271,175574,962,10779,34888,84303144,794575,,,,,
USA,North America,United States,8/23/2020,5720121,31903,176053,479,10738,34609,84865265,562121,,,,,
USA,North America,United States,8/24/2020,5754212,34091,176507,454,10691,34791,85532343,667078,,,,,
USA,North America,United States,8/25/2020,5796774,42562,177724,1217,10603,34479,86438719,906376,,,,,
USA,North America,United States,8/26/2020,5838966,42192,178867,1143,10383,33624,87457021,1018302,,,,,
USA,North America,United States,8/27/2020,5889403,50437,179974,1107,9905,33285,88478121,1021100,,,,,
USA,North America,United States,8/28/2020,5935723,46320,180901,927,9883,31898,89465751,987630,,,,,
USA,North America,United States,8/29/2020,5978794,43071,181864,963,9697,31178,90264446,798695,,,,,
USA,North America,United States,8/30/2020,6012962,34168,182304,440,9549,31075,90879362,614916,,,,,
USA,North America,United States,8/31/2020,6046488,33526,182789,485,9509,31395,91541345,661983,,,,,
USA,North America,United States,9/1/2020,6088457,41969,183850,1061,9472,31118,92449482,908137,,,,,
USA,North America,United States,9/2/2020,6128575,40118,184923,1073,9362,30827,93477339,1027857,,,,,
USA,North America,United States,9/3/2020,6173786,45211,185946,1023,9232,30296,94510661,1033322,,,,,
USA,North America,United States,9/4/2020,6222445,48659,186896,950,9228,29879,95510759,1000098,,,,,
USA,North America,United States,9/5/2020,6265683,43238,187687,791,9091,28845,96327782,817023,,,,,
USA,North America,United States,9/6/2020,6294761,29078,188123,436,9010,28369,96893869,566087,,,,,
USA,North America,United States,9/7/2020,6319463,24702,188446,323,8974,28589,97309127,415258,,,,,
USA,North America,United States,9/8/2020,6346566,27103,188919,473,8971,28951,97973605,664478,,,,,
USA,North America,United States,9/9/2020,6380417,33851,190019,1100,8784,28775,98933342,959737,,,,,
USA,North America,United States,9/10/2020,6420039,39622,190926,907,8590,28065,100022025,1088683,,,,,
USA,North America,United States,9/11/2020,6464864,44825,192068,1142,8529,27368,101123043,1101018,,,,,
USA,North America,United States,9/12/2020,6510478,45614,192805,737,8312,26512,101989357,866314,,,,,
USA,North America,United States,9/13/2020,6550786,40308,193196,391,8261,26329,102617699,628342,,,,,
USA,North America,United States,9/14/2020,6583687,32901,193620,424,8264,26788,103326930,709231,,,,,
USA,North America,United States,9/15/2020,6621126,37439,194810,1190,8158,26935,104295010,968080,,,,,
USA,North America,United States,9/16/2020,6659475,38349,195742,932,8074,26372,105435366,1140356,,,,,
USA,North America,United States,9/17/2020,6704916,45441,196590,848,8025,26085,106593984,1158618,,,,,
USA,North America,United States,9/18/2020,6755143,50227,197547,957,7970,25833,107824213,1230229,,,,,
USA,North America,United States,9/19/2020,6800798,45655,198213,666,7833,25481,108763392,939179,,,,,
USA,North America,United States,9/20/2020,6842403,41605,198471,258,7840,25543,109387997,624605,,,,,
USA,North America,United States,9/21/2020,6874663,32260,198881,410,7856,26379,110139058,751061,,,,,
USA,North America,United States,9/22/2020,6912971,38308,199902,1021,7862,26440,111169463,1030405,,,,,
USA,North America,United States,9/23/2020,6954201,41230,200953,1051,7861,26484,112375293,1205830,,,,,
