entity,iso_code,date,Daily hospital occupancy,Daily ICU occupancy,new_cases,new_deaths
United States,USA,7/15/2020,33760,9245,66299,953
United States,USA,7/16/2020,38539,9797,70774,960
United States,USA,7/17/2020,40062,10700,66422,942
United States,USA,7/18/2020,40376,10963,64325,890
United States,USA,7/19/2020,37897,10267,58993,464
United States,USA,7/20/2020,41140,11291,60856,553
United States,USA,7/21/2020,42195,11458,68295,1072
United States,USA,7/22/2020,46107,12487,67450,1243
United States,USA,7/23/2020,47836,13916,67767,1056
United States,USA,7/24/2020,46750,13627,74949,1109
United States,USA,7/25/2020,51833,14402,63755,949
United States,USA,7/26/2020,43098,12403,55631,563
United States,USA,7/27/2020,47167,14230,59997,1104
United States,USA,7/28/2020,48114,14578,64564,1215
United States,USA,7/29/2020,45616,14021,64051,1414
United States,USA,7/30/2020,46832,14653,69204,1301
United States,USA,7/31/2020,46150,14603,64375,1192
United States,USA,8/1/2020,50419,14400,57424,1090
United States,USA,8/2/2020,50238,14053,46889,476
United States,USA,8/3/2020,45291,14245,41896,591
United States,USA,8/4/2020,45134,14116,61621,1248
United States,USA,8/5/2020,44663,14059,54137,1395
United States,USA,8/6/2020,43891,13885,60036,1201
United States,USA,8/7/2020,43210,13769,60441,1295
United States,USA,8/8/2020,41593,13358,63767,1072
United States,USA,8/9/2020,41484,13163,54163,577
United States,USA,8/10/2020,42072,13181,51637,524
United States,USA,8/11/2020,41645,13058,56876,1077
United States,USA,8/12/2020,41817,12868,55221,1532
United States,USA,8/13/2020,41240,12677,51446,1028
United States,USA,8/14/2020,39980,12512,70072,1286
United States,USA,8/15/2020,38699,12246,52325,1060
United States,USA,8/16/2020,38850,11991,34577,611
United States,USA,8/17/2020,39032,11967,37997,459
United States,USA,8/18/2020,38897,11958,44975,1227
United States,USA,8/19/2020,38002,11571,45915,701
United States,USA,8/20/2020,37321,11263,45135,1080
United States,USA,8/21/2020,35989,11031,47900,1115
United States,USA,8/22/2020,34888,10779,45271,962
United States,USA,8/23/2020,34609,10738,31903,479
United States,USA,8/24/2020,34791,10691,34091,454
United States,USA,8/25/2020,34479,10603,42562,1217
United States,USA,8/26/2020,33624,10383,42192,1143
United States,USA,8/27/2020,33285,9905,50437,1107
United States,USA,8/28/2020,31898,9883,46320,927
United States,USA,8/29/2020,31178,9697,43071,963
United States,USA,8/30/2020,31075,9549,34168,440
United States,USA,8/31/2020,31395,9509,33526,485
United States,USA,9/1/2020,31118,9472,41969,1061
United States,USA,9/2/2020,30827,9362,40118,1073
United States,USA,9/3/2020,30296,9232,45211,1023
United States,USA,9/4/2020,29879,9228,48659,950
United States,USA,9/5/2020,28845,9091,43238,791
United States,USA,9/6/2020,28369,9010,29078,436
United States,USA,9/7/2020,28589,8974,24702,323
United States,USA,9/8/2020,28951,8971,27103,473
United States,USA,9/9/2020,28775,8784,33851,1100
United States,USA,9/10/2020,28065,8590,39622,907
United States,USA,9/11/2020,27368,8529,44825,1142
United States,USA,9/12/2020,26512,8312,45615,737
United States,USA,9/13/2020,26329,8261,40308,391
United States,USA,9/14/2020,26788,8264,32901,424
United States,USA,9/15/2020,26935,8158,37439,1190
United States,USA,9/16/2020,26372,8074,38349,932
United States,USA,9/17/2020,26085,8025,45441,848
United States,USA,9/18/2020,25833,7970,50227,957
United States,USA,9/19/2020,25481,7833,45655,666
United States,USA,9/20/2020,25543,7840,41605,258
United States,USA,9/21/2020,26379,7856,32260,410
United States,USA,9/22/2020,26440,7862,38308,1021
United States,USA,9/23/2020,26484,7861,41230,1051
United States,USA,9/24/2020,26407,7830,48997,895
United States,USA,9/25/2020,26275,7813,47626,914
United States,USA,9/26/2020,25904,7796,43890,762
United States,USA,9/27/2020,25970,8067,33707,304
United States,USA,9/28/2020,27021,7915,36571,337
United States,USA,9/29/2020,27505,8043,42290,877
United States,USA,9/30/2020,27669,8070,38916,905
United States,USA,10/1/2020,27478,8005,46362,895
United States,USA,10/2/2020,27407,7957,53547,888
United States,USA,10/3/2020,27271,7964,49380,672
United States,USA,10/4/2020,27871,8119,33370,384
United States,USA,10/5/2020,28956,8332,37947,474
United States,USA,10/6/2020,29999,8569,45021,688
United States,USA,10/7/2020,30543,8638,49467,905
United States,USA,10/8/2020,31015,8624,58213,973
United States,USA,10/9/2020,31207,8723,55331,947
United States,USA,10/10/2020,30981,8731,55254,648
United States,USA,10/11/2020,31435,8819,46880,463
United States,USA,10/12/2020,32780,9057,42955,393
United States,USA,10/13/2020,33508,9412,50596,751
United States,USA,10/14/2020,33936,9303,59171,986
United States,USA,10/15/2020,34388,9478,63862,839
United States,USA,10/16/2020,34641,9538,70310,926
United States,USA,10/17/2020,34322,9516,54850,789
United States,USA,10/18/2020,35016,9725,52294,460
United States,USA,10/19/2020,36432,10075,68737,510
United States,USA,10/20/2020,37414,10215,62571,948
United States,USA,10/21/2020,38105,10437,61425,1168
United States,USA,10/22/2020,38849,10650,80216,882
United States,USA,10/23/2020,39080,10712,82132,954
United States,USA,10/24/2020,39341,10711,78099,972
United States,USA,10/25/2020,39986,10853,60377,452
United States,USA,10/26/2020,41336,11110,64470,557
United States,USA,10/27/2020,42272,11434,78977,997
United States,USA,10/28/2020,43487,11661,88388,1042
United States,USA,10/29/2020,44166,11827,92679,995
United States,USA,10/30/2020,45075,11854,100499,1071
United States,USA,10/31/2020,45049,11887,86772,964
United States,USA,11/1/2020,46054,12131,78138,509
United States,USA,11/2/2020,47938,12594,83938,727
United States,USA,11/3/2020,49028,12909,126902,1623
United States,USA,11/4/2020,50468,13002,102069,1082
United States,USA,11/5/2020,51790,13228,130032,1214
United States,USA,11/6/2020,52843,13357,129127,1184
United States,USA,11/7/2020,53822,13479,127222,1127
United States,USA,11/8/2020,55716,14008,119368,576
United States,USA,11/9/2020,58475,14409,119525,803
United States,USA,11/10/2020,61421,14835,139101,1464
United States,USA,11/11/2020,63328,15115,149559,1462
United States,USA,11/12/2020,65219,15594,159643,1239
United States,USA,11/13/2020,66128,15867,178761,1192
United States,USA,11/14/2020,67220,16238,162957,1400
United States,USA,11/15/2020,69518,16808,138514,757
United States,USA,11/16/2020,73100,17538,155737,874
United States,USA,11/17/2020,75499,18088,167352,1744
United States,USA,11/18/2020,77320,18331,173416,1934
United States,USA,11/19/2020,78344,18742,191967,2012
United States,USA,11/20/2020,79739,18916,201084,2000
United States,USA,11/21/2020,79864,19091,177604,1631
United States,USA,11/22/2020,81798,19658,145235,1076
United States,USA,11/23/2020,84179,20176,184286,1136
United States,USA,11/24/2020,86042,20572,174968,2174
United States,USA,11/25/2020,87127,20831,181251,2225
United States,USA,11/26/2020,86555,21025,112911,1396
United States,USA,11/27/2020,88105,21327,215202,1619
United States,USA,11/28/2020,89606,21483,167489,1411
United States,USA,11/29/2020,92453,21919,139672,1043
United States,USA,11/30/2020,95096,22500,158530,1408
United States,USA,12/1/2020,96674,22868,198831,2500
United States,USA,12/2/2020,97842,22962,197016,2872
United States,USA,12/3/2020,97853,23043,219423,2906
United States,USA,12/4/2020,98143,23123,235134,2627
United States,USA,12/5/2020,97247,23172,219923,2395
United States,USA,12/6/2020,98654,23435,178131,1419
United States,USA,12/7/2020,101028,23892,196241,1631
United States,USA,12/8/2020,102304,24197,227499,2600
United States,USA,12/9/2020,104371,24612,215734,2960
United States,USA,12/10/2020,105048,24636,235777,2912
United States,USA,12/11/2020,105653,24747,236903,3333
United States,USA,12/12/2020,105358,24634,222757,2505
United States,USA,12/13/2020,107402,25074,190641,1568
United States,USA,12/14/2020,109689,25560,210361,1695
United States,USA,12/15/2020,110996,25812,227222,2897
United States,USA,12/16/2020,111997,25972,234144,3674
United States,USA,12/17/2020,112445,25894,239174,3412
United States,USA,12/18/2020,112114,25950,246439,2955
United States,USA,12/19/2020,111037,25801,205025,2736
United States,USA,12/20/2020,112401,26057,186169,1699
United States,USA,12/21/2020,114649,26431,197425,1823
United States,USA,12/22/2020,117528,26730,205789,3298
United States,USA,12/23/2020,118106,26928,220787,3303
United States,USA,12/24/2020,116274,26714,211594,2860
United States,USA,12/25/2020,113496,26559,125524,1499
United States,USA,12/26/2020,115521,26734,217968,1910
United States,USA,12/27/2020,118988,27063,136184,1464
United States,USA,12/28/2020,121425,27519,174632,1897
United States,USA,12/29/2020,122665,27782,206840,3538
United States,USA,12/30/2020,123922,27697,218748,3882
United States,USA,12/31/2020,123347,27748,313926,3216
