iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,total_tests,new_tests
ITA,Europe,Italy,2/25/2020,322,93,10,3,35,150,8623,4299
ITA,Europe,Italy,2/26/2020,453,131,12,2,36,164,9587,964
ITA,Europe,Italy,2/27/2020,655,202,17,5,56,304,12014,2427
ITA,Europe,Italy,2/28/2020,888,233,21,4,64,409,15695,3681
ITA,Europe,Italy,2/29/2020,1128,240,29,8,105,506,18661,2966
ITA,Europe,Italy,3/1/2020,1694,566,34,5,140,779,21127,2466
ITA,Europe,Italy,3/2/2020,2036,342,52,18,166,908,23345,2218
ITA,Europe,Italy,3/3/2020,2502,466,79,27,229,1263,25856,2511
ITA,Europe,Italy,3/4/2020,3089,587,107,28,295,1641,29837,3981
ITA,Europe,Italy,3/5/2020,3858,769,148,41,351,2141,32362,2525
ITA,Europe,Italy,3/6/2020,4636,778,197,49,462,2856,36359,3997
ITA,Europe,Italy,3/7/2020,5883,1247,233,36,567,3218,42062,5703
ITA,Europe,Italy,3/8/2020,7375,1492,366,133,650,4207,49937,7875
ITA,Europe,Italy,3/9/2020,9172,1797,463,97,733,5049,53826,3889
ITA,Europe,Italy,3/10/2020,10149,977,631,168,877,5915,60761,6935
ITA,Europe,Italy,3/11/2020,12462,2313,827,196,1028,6866,73154,12393
ITA,Europe,Italy,3/12/2020,15113,2651,1016,189,1153,7803,86011,12857
ITA,Europe,Italy,3/13/2020,17660,2547,1266,250,1328,8754,97488,11477
ITA,Europe,Italy,3/14/2020,21157,3497,1441,175,1518,9890,109170,11682
ITA,Europe,Italy,3/15/2020,24747,3590,1809,368,1672,11335,124899,15729
ITA,Europe,Italy,3/16/2020,27980,3233,2158,349,1851,12876,137962,13063
ITA,Europe,Italy,3/17/2020,31506,3526,2503,345,2060,14954,148657,10695
ITA,Europe,Italy,3/18/2020,35713,4207,2978,475,2257,16620,165541,16884
ITA,Europe,Italy,3/19/2020,41035,5322,3405,427,2498,18255,182777,17236
ITA,Europe,Italy,3/20/2020,47021,5986,4032,627,2655,18675,206886,24109
ITA,Europe,Italy,3/21/2020,53578,6557,4825,793,2857,20565,233222,26336
ITA,Europe,Italy,3/22/2020,59138,5560,5476,651,3009,22855,258402,25180
ITA,Europe,Italy,3/23/2020,63927,4789,6077,601,3204,23896,275468,17066
ITA,Europe,Italy,3/24/2020,69176,5249,6820,743,3396,25333,296964,21496
ITA,Europe,Italy,3/25/2020,74386,5210,7503,683,3489,26601,324445,27481
ITA,Europe,Italy,3/26/2020,80589,6203,8215,712,3612,28365,361060,36615
ITA,Europe,Italy,3/27/2020,86498,5909,9134,919,3732,29761,394079,33019
ITA,Europe,Italy,3/28/2020,92472,5974,10023,889,3856,30532,429526,35447
ITA,Europe,Italy,3/29/2020,97689,5217,10779,756,3906,31292,454030,24504
ITA,Europe,Italy,3/30/2020,101739,4050,11591,812,3981,31776,477359,23329
ITA,Europe,Italy,3/31/2020,105792,4053,12428,837,4023,32215,506968,29609
ITA,Europe,Italy,4/1/2020,110574,4782,13155,727,4035,32438,541423,34455
ITA,Europe,Italy,4/2/2020,115242,4668,13915,760,4053,32593,581232,39809
ITA,Europe,Italy,4/3/2020,119827,4585,14681,766,4068,32809,619849,38617
ITA,Europe,Italy,4/4/2020,124632,4805,15362,681,3994,33004,657224,37375
ITA,Europe,Italy,4/5/2020,128948,4316,15887,525,3977,32926,691461,34237
ITA,Europe,Italy,4/6/2020,132547,3599,16523,636,3898,32874,721732,30271
ITA,Europe,Italy,4/7/2020,135586,3039,17127,604,3792,32510,755445,33713
ITA,Europe,Italy,4/8/2020,139422,3836,17669,542,3693,32178,807125,51680
ITA,Europe,Italy,4/9/2020,143626,4204,18279,610,3605,32004,853369,46244
ITA,Europe,Italy,4/10/2020,147577,3951,18849,570,3497,31739,906864,53495
ITA,Europe,Italy,4/11/2020,152271,4694,19468,619,3381,31525,963473,56609
ITA,Europe,Italy,4/12/2020,156363,4092,19899,431,3343,31190,1010193,46720
ITA,Europe,Italy,4/13/2020,159516,3153,20465,566,3260,31283,1046910,36717
ITA,Europe,Italy,4/14/2020,162488,2972,21067,602,3186,31197,1073689,26779
ITA,Europe,Italy,4/15/2020,165155,2667,21645,578,3079,30722,1117404,43715
ITA,Europe,Italy,4/16/2020,168941,3786,22170,525,2936,29829,1178403,60999
ITA,Europe,Italy,4/17/2020,172434,3493,22745,575,2812,28598,1244108,65705
ITA,Europe,Italy,4/18/2020,175925,3491,23227,482,2733,27740,1305833,61725
ITA,Europe,Italy,4/19/2020,178972,3047,23660,433,2635,27668,1356541,50708
